"Smiles","Class_HH","Class_WL"
"CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12",0,
"COC(=O)Nc1[nH]c2ccccc2n1",1,
"CNC(=O)Oc1cccc2ccccc12",1,1
"CNC(=O)O\N=C\C(C)(C)SC",1,
"CNC(=O)O\N=C(/C)SC",1,
"ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl",1,1
"ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl",1,1
"ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl",1,1
"ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl",1,1
"ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl",1,1
"ClC1=C(Cl)C2(Cl)C3C=CCC3C1(Cl)C2(Cl)Cl",0,
"ClC1C2C(C3OC13Cl)C4(Cl)C(=C(Cl)C2(Cl)C4(Cl)Cl)Cl",1,
"ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl",1,1
"OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl",1,
"ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl",1,1
"ClC1=C(Cl)C2(Cl)[C@H]3CO[S](=O)OC[C@H]3[C@]1(Cl)C2(Cl)Cl",1,1
"ClC1=C(Cl)C2(Cl)[C@@H]3CO[S](=O)OC[C@@H]3[C@@]1(Cl)C2(Cl)Cl",1,1
"ClC1C(Cl)C2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl",1,1
"ClC1C(Cl)C2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl",1,1
"ClCC1(CCl)C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl",1,1
"ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl",1,1
"OC(=O)COc1cc(Cl)c(Cl)cc1Cl",1,
"OC(=O)COc1ccc(Cl)cc1Cl",1,1
"CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n2ccnc2",1,
"Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl",1,1
"Clc1ccc(cc1)C(c2ccccc2Cl)C(Cl)(Cl)Cl",1,1
"Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl",1,1
"ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl",1,1
"ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2",1,
"ClC(Cl)C(c1ccc(Cl)cc1)c2cccc(Cl)c2",1,
"Clc1ccc(cc1)C(=C(Cl)Cl)c2ccccc2Cl",1,1
"Clc1ccc(cc1)C(=C(Cl)Cl)c2ccc(Cl)cc2",1,1
"Cl\C=C(/c1ccc(Cl)cc1)c2ccccc2Cl",1,
"Clc1ccc(cc1)C(Cl)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl",1,1
"ClC(Cl)(Cl)C(c1ccccc1)c2ccccc2",1,1
"OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl",,1
"CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2",1,
"CC12CC1(C)C(=O)N(C2=O)c3cc(Cl)cc(Cl)c3",1,
"Nc1ccc(Cl)c(Cl)c1",1,1
"CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O",0,
"CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O",1,1
"ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl",1,1
"ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl",1,1
"Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2",0,
"CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1",1,
"S=C1NCCN1",1,1
"CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1",1,
"COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl",1,1
"COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl",1,1
"Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl",1,1
"COc1ccc(cc1C)C(CCl)(CCl)c2ccc(OC)c(C)c2",1,1
"CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl",0,1
"CCSCCS[P](=O)(OC)OC",0,
"CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C",,1
"CO[P](=O)(OC)OC=C(Cl)Cl",0,
"CNC(=O)CS[P](=S)(OC)OC",1,
"CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC",1,1
"CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O",1,
"CCO[P](=S)(OCC)Oc1cnc2ccccc2n1",1,1
"COC(=O)C(/C)=C/[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(=C2C)C\C=C/C=C)C1(C)C",1,
"CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C",1,
"CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2",0,1
"CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2",1,1
"CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C",1,
"CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3",1,1
"CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2",1,
"CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2",1,
"CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C",1,
"OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl",1,1
"[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S",1,
"[Mn++].[S-]C(=S)NCCNC([S-])=S",1,
"[Zn++].[S-]C(=S)NCCNC([S-])=S",1,
"CN(C)C(=S)SSC(=S)N(C)C",1,
"[Zn++].[S-]C(=S)NCCNC([S-])=S",1,
"[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S",1,1
"CCNc1nc(Cl)nc(NC(C)C)n1",1,1
"CSC1=NN=C(C(=O)N1N)C(C)(C)C",1,
"CCNc1nc(Cl)nc(NCC)n1",1,
"Nc1[nH]ncn1",1,
"CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C",1,
"CC(O)(C=C)C(=O)Nc1cc(Cl)cc(Cl)c1",1,
"CCc1cccc(CC)c1N(COC)C(=O)CCl",1,1
"ClCC(Br)CBr",1,
"CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1",,1
"ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl",1,
"ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl",0,
"[O-][N+](=O)c1ccc(Oc2ccc(Cl)cc2Cl)cc1",1,
"C=Cc1ccccc1",1,
"CCCCc1ccccc1",0,
"Oc1ccc(Cl)cc1Cl",1,
"Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl",1,
"Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl",1,
"CC(C)(C)CC(C)(C)c1ccc(O)cc1",1,1
"CCCCCCCCCc1ccc(O)cc1",1,1
"CCCCCCCCCc1ccc(OCC(O)=O)cc1",1,1
"CCCCCCCCCc1ccc(OCCOCCO)cc1",1,1
"CC(C)(C)c1ccc(O)cc1",1,1
"Oc1ccc(cc1)C2CCCCC2",1,
"CCCCCCCCCc1ccc(OCCOCCO)cc1",1,1
"COc1ccc(O)c(c1)C(C)(C)C",1,1
"CCC(C)c1ccc(O)cc1",1,1
"Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br",1,
"CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2",1,
"CCCCOC(=O)c1ccccc1C(=O)OCCCC",1,
"CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC",1,
"CCCOC(=O)c1ccccc1C(=O)OCCC",1,
"CCCCCOC(=O)c1ccccc1C(=O)OCCCCC",1,
"O=C(OC1CCCCC1)c2ccccc2C(=O)OC3CCCCC3",1,1
"CCOC(=O)c1ccccc1C(=O)OCC",1,
"CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC",1,
"C[Si]1(C)O[Si](C)(O[Si](C)(C)O[Si](C)(O1)c2ccccc2)c3ccccc3",1,
"Oc1ccc(Cc2ccccc2)cc1",1,
"Oc1ccc(c(O)c1)C(=O)c2ccccc2",1,1
"Oc1ccc(cc1)C(=O)c2ccc(O)cc2",1,1
"COc1ccc(c(O)c1)C(=O)c2ccc(OC)cc2O",1,
"CC(C)(c1ccc(O)cc1)c2ccc(O)cc2",1,1
"CCC(C)(c1ccc(O)cc1)c2ccc(O)cc2",1,
"CC(CCCCc1ccc(O)cc1)c2ccc(O)cc2",1,
"CC(C)CC(C)(c1ccc(O)cc1)c2ccc(O)cc2",1,
"OCc1ccccc1C(c2ccc(O)cc2)c3ccc(O)cc3",1,
"Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4",1,
"Oc1ccccc1c2ccccc2O",1,1
"Oc1ccc(cc1)c2ccc(O)cc2",1,1
"Oc1ccc(cc1)c2ccccc2",1,
"c1ccc(cc1)c2ccccc2",0,
"Clc1ccc(c(Cl)c1)c2ccc(Cl)cc2Cl",1,
"Clc1cc(Cl)cc(c1)c2cc(Cl)cc(Cl)c2",1,
"Clc1ccccc1c2ccccc2",1,
"Clc1cccc(c1)c2ccccc2",1,
"Clc1ccc(cc1)c2ccccc2",1,
"Clc1ccc(Cl)c(c1)c2ccccc2Cl",1,1
"Oc1ccc(cc1)c2c(Cl)cc(Cl)cc2Cl",1,1
"Clc1ccc(c(Cl)c1)c2ccc(Cl)cc2Cl",1,
"Clc1ccc(Cl)c(c1)c2cc(Cl)ccc2Cl",1,1
"Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2",1,
"Oc1ccc(cc1)c2cc(Cl)c(Cl)c(Cl)c2Cl",1,1
"Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl",1,
"Clc1ccc(c2ccccc2)c(Cl)c1Cl",1,1
"Oc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl",1,1
"Oc1c(Cl)cc(cc1Cl)c2ccc(Cl)cc2",1,1
"Clc1ccccc1c2cc(Cl)c(Cl)cc2Cl",1,
"Clc1cc(c2ccccc2)c(Cl)c(Cl)c1Cl",1,
"Clc1ccc(cc1)c2c(Cl)cc(Cl)cc2Cl",1,
"Oc1cccc(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl",1,1
"Oc1ccc(cc1)c2c(Cl)c(Cl)c(O)c(Cl)c2Cl",1,1
"Oc1c(Cl)cc(cc1Cl)c2cc(Cl)c(O)c(Cl)c2",1,1
"Clc1ccc(Cl)c(c1Cl)c2c(Cl)ccc(Cl)c2Cl",1,
"Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2",1,
"Clc1cccc(c1Cl)c2ccc(Cl)c(Cl)c2Cl",1,
"Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl",1,
"Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2",1,
"Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl",1,
"Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl",1,1
"Oc1ccc2cc3c(ccc4cc(O)ccc34)cc2c1",1,1
"C1Cc2ccc3cc4c(ccc5ccccc45)cc3c2C1",1,1
"c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45",1,1
"Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25",1,
"Cc1c2ccccc2c(C)c3c4ccccc4ccc13",1,1
"Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl",1,
"Clc1cc2Oc3ccc(Br)cc3Oc2cc1Cl",,1
"Clc1cc(Cl)c2Oc3cc(Cl)c(Cl)cc3Oc2c1",,1
"Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2cc1Cl",1,
"Clc1cc2Oc3cc(Br)c(Br)cc3Oc2cc1Cl",,1
"Clc1cc2Oc3cc(Cl)c(Br)cc3Oc2cc1Br",,1
"Clc1ccc2oc3cc(Cl)c(Cl)cc3c2c1Cl",1,
"Clc1cc(Cl)c2c(oc3c(Cl)cc(Cl)cc23)c1",1,
"Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl",1,
"Clc1cc2c(oc3ccc(Br)cc23)c(Cl)c1Cl",,1
"Clc1cc2oc3cc(Cl)c(Cl)c(Cl)c3c2cc1Cl",1,
"Clc1cc(Cl)c2c(oc3cc(Cl)c(Cl)c(Cl)c23)c1",1,
"Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl",1,
"Cc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl",,1
"Cc1cc(Cl)cc2c1oc3cc(Cl)cc(Cl)c23",1,1
"CC(C)(C)c1cc(Cl)cc2c1oc3cc(Cl)cc(Cl)c23",,1
"CCCC[Sn](CCCC)CCCC",1,1
"O(|[Sn](CCCC)(CCCC)CCCC)|[Sn](CCCC)(CCCC)CCCC",1,1
"Cc1ccc(cc1)[N+]([O-])=O",1,
"COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1",1,1
"COc1cc(\C=C\C(O)=O)ccc1O",0,
"OC(=O)/C=C/c1ccc(O)cc1",1,
"COc1ccc(cc1)C2=COc3cc(O)ccc3C2=O",0,0
"COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O",1,
"CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)[S](N)(=O)=O)[N+]([O-])=O",0,
"COC(=O)[C@@]1(O)OC[C@@]23[C@H](C[C@@H](OC(C)=O)[C@]4(CO[C@@H]([C@@H](O)[C@](C)([C@H]12)[C@]56O[C@@]5(C)[C@H]7C[C@@H]6O[C@@H]8OC=C[C@]78O)[C@H]34)C(=O)OC)OC(=O)C(/C)=C/C",0,
"OC(=O)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2",1,1
"ClC=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2",1,
"c1ccc2cc3c(ccc4ccccc34)cc2c1",1,1
"COC(C)(C)C",1,1
"Clc1cc2Oc3cc(Cl)c(Br)cc3Oc2cc1Cl",,1
"CCOC(=O)C(S[P](=S)(OC)OC)c1ccccc1",,1
"CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O",1,1
"CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3",1,
"CCCCCCCCc1ccc(O)cc1",1,1
"[F]|[Sn](CCCC)(CCCC)CCCC",1,1
"CCCC[Sn](|[O]C(=O)C(C)=C)(CCCC)CCCC",1,1
"CCCCC/C=C\C\C=C/CCCCCCCC([O]|[Sn](CCCC)(CCCC)CCCC)=O",1,1
"[K+].CCCCCCCCCc1ccccc1[O-]",1,1
"CCCCCCCCc1ccc(OCCO)cc1",1,1
"CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C",1,
"CC(C)(C)CC(C)(C)c1ccccc1O",1,1
"CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C",1,
"CCCCCCCC\C=C/CCCCCCCC([O]|[Sn](CCCC)(CCCC)CCCC)=O",1,1
"CCCC[Sn](|[O]C(=O)c1ccccc1O)(CCCC)CCCC",1,1
"CCCC[Sn](|[O]C(=O)c1ccccc1)(CCCC)CCCC",1,1
"CCCC[Sn](|[O]C(=O)c1ccccc1C([O]|[Sn](CCCC)(CCCC)CCCC)=O)(CCCC)CCCC",1,1
"Brc1cc2Oc3cc(Br)c(Br)cc3Oc2cc1Br",1,1
"CN(C)C=Nc1ccc(Cl)cc1C",1,
"CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl",0,
"CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O",,1
"CO[P](=O)(OC)OC(=C/Cl)/c1cc(Cl)c(Cl)cc1Cl",0,
"COC(=O)\C=C(/C)O[P](=O)(OC)OC",0,1
"O=[P](N1CC1)(N2CC2)N3CC3",0,
"CNC(=O)Oc1cccc2CC(C)(C)Oc12",1,1
"Clc1ccc(cc1)c2ccc(Cl)cc2Cl",1,1
"Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)cc2Cl",1,1
"ClCCN(CCCl)[P]1(=O)NCCCO1",1,
"ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl",1,
"CCCCOC(=O)c1ccccc1C(O)=O",1,
"CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2",1,
"Cc1c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)cccc1c3ccccc3",1,
"[Cl]|[Sn](CCC)(CCC)CCC",,1
"CCCC[Sn](CCCC)(CCCC)CCCC",1,1
"Brc1cc2Oc3cc(Br)c(Br)c(Br)c3Oc2cc1Br",,1
"CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C%10C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C",0,
"CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C",0,
"Oc1c(Br)cc(cc1Br)C#N",1,
"CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2",1,
"CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2",1,
"[Cl-].COCC[Hg+]",1,
"CC([O]|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3)=O",,1
"[NH4+].C[P](O)(=O)CCC(N)C([O-])=O",0,
"OC(=O)CN(C[P](O)(O)=O)C[P](O)(O)=O",0,
"Oc1c(I)cc(cc1I)C#N",1,
"CBr",1,
"CCN(CC)C(=O)\C(Cl)=C(/C)O[P](=O)(OC)OC",1,
"[Na+].CNC([S-])=S",1,
"BrCCBr",1,
"OC(=O)CCCOc1ccc(Cl)cc1Cl",1,
"CO[P](=O)(NC(C)=O)SC",1,1
"CCNc1nc(Cl)nc(NC(C)(C)C#N)n1",1,
"CNC(=O)CS[P](=O)(OC)OC",1,
"CC[S](=O)CCS[P](=O)(OC)OC",0,
"CSc1nc(NC(C)C)nc(NC(C)C)n1",1,
"CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl",1,
"Oc1ccccc1c2ccccc2",1,1
"ClC(Cl)=C(Cl)Cl",1,
"Cc1cc(O)ccc1Cl",1,
"Cc1cc(Cl)ccc1O",1,
"CCCCC(CC)COC(=O)c1ccccc1C(O)=O",1,
"ClCC1CO1",1,
"CCOCN(C(=O)CCl)c1c(C)cccc1CC",1,
"CCC(C)N1C(=O)NC(=C(Br)C1=O)C",0,
"CCC(=O)Nc1ccc(Cl)c(Cl)c1",1,
"Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl",1,
"CCNc1nc(NC(C)(C)C)nc(SC)n1",1,
"Clc1cccc(Cl)c1Cl",1,
"CCOc1snc(n1)C(Cl)(Cl)Cl",1,
"ClC1(Cl)C2(Cl)C3C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl",1,
"CO[P](=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl",0,
"Clc1cc(Cl)c(Cl)c(Cl)c1Cl",1,
"CCCCOCCOCCOCc1cc2OCOc2cc1CCC",,1
"S=C=S",1,
"CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C",1,
"Oc1cccc(O)c1",1,
"C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1",1,
"CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O",0,
"CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1",1,1
"Cc1ccc(cc1)\C=C2/C3CCC(C)(C2=O)C3(C)C",1,0
"COc1ccc(c(O)c1)C(=O)c2ccccc2",1,1
"OC(=O)c1ccc(O)cc1",1,
"COC(=O)c1ccc(O)cc1",1,
"CCOC(=O)c1ccc(O)cc1",1,1
"CCCOC(=O)c1ccc(O)cc1",1,1
"CCCCOC(=O)c1ccc(O)cc1",1,1
"CC1(C)C\2CCC1(C)C(=O)C2=C/c3ccccc3",1,1
"Oc1ccc(c(O)c1)C(=O)c2ccc(O)cc2O",1,1
"OB(O)O",1,1
"Oc1ccc(cc1)[N+]([O-])=O",1,
"Cc1cc(O)ccc1[N+]([O-])=O",1,
"Cc1ccc(O)cc1",1,
