"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"[O-][N+](=O)c1oc(cc1)c2cscn2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)Nc1scc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1oc(cc1)c2csc(NC=O)n2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(=O)Nc1nc(NC(C)=O)nc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+]=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"CN(CCCl)CCCl",,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,
"C[N+]([O-])(CCCl)CCCl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[O-][N+](=O)c1ccc2ccccc2c1",,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
"[O-][N+](=O)c1cccc2ccccc12",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0,0,,
"Nc1ccc(cc1N)[N+]([O-])=O",1,1,1,1,1,,,1,,,,0,,,1,0,1,0,,,,,0,,,,,,,,,,,,0,0,,
"Nc1ccc(N)c(c1)[N+]([O-])=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,0,,,,,,0,,,1,,1,1,,
"[O-][N+](=O)c1ccc(OCC2CO2)cc1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(\C=C/C=C/C=O)cc1",,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,
"CC(C)[N+]([O-])=O",,,,1,1,,1,,,,,1,,,,,1,0,,,,,,,,,,,,,,1,,,,,,
"OC(=O)CC[N+]([O-])=O",,,,1,1,,1,1,,,,0,,,,,,1,,,,,,,,,,,,,,,,,0,,,
"[O-][N+](=O)c1ccc2ccc3cccc4ccc1c2c34",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1cccc2cccnc12",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1cc[n+]([O-])c2ccccc12",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,1,,,,,,,1,,1,,1,,,
"Cc1cccc(c1N)[N+]([O-])=O",,,,,,,,,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,
"CC(C)Oc1ccccc1OC(=O)N(C)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN(Cc1ccccc1)Cc2ccccc2",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"CCCCN(CCCC)N=O",,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,
"OCCN(CCO)N=O",,,,1,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,
"CCN(CC)N=O",,,,1,,,1,,,,,1,,,,,1,,,,,,,0,,,,,,,,1,1,1,1,,,
"O=NN1CCC(=O)NC1=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CC(O)CN(CC(O)CO)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CN(C)N=O",,,,1,1,,1,,,,,1,,,,,1,1,,,,,,1,,,,,,,,1,1,1,1,,,
"O=Nc1ccc(Nc2ccccc2)cc1",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CCCN(CCC)N=O",,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,1,,,
"O=NN1CCCCCCCCCCCC1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCN(C)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCOC(=O)N(CC)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN1CCCCCCC1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN1CCCCCC1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN1CC(=O)NC1=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"OC1CCN(C1)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CN(N=O)c1ccccn1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CN(Cc1ccccc1)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
"CN(N=O)C(N)=O",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,1,,,,,1,,1,1,,1,,,
"O=NN1CCOCC1",,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,,
"O=NN1CCCC1c2cccnc2",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,
"O=NN1CCNCC1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN1CCCCC1",,,,1,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,
"O=NN1CCCC1",,,,1,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,1,,,
"O=NN1CCC=CC1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN1CCSCC1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1ccccc1/C=C/c2ccccc2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"Cc1ccc(cc1N)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CN(CCCC(=O)c1cccnc1)N=O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cc1ccccc1N\N=C2/C(=O)C=Cc3ccccc23",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,1,,,
"Cc1c(C(=O)NCCO)[n+]([O-])c2ccccc2[n+]1[O-]",,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,
"CCN1C=C(C(O)=O)C(=O)c2cc3OCOc3cc12",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"NN[S](=O)(=O)c1ccc(Oc2ccc(cc2)[S](=O)(=O)NN)cc1",1,1,1,,,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,,,,,,
"CC[S](=O)CCS[P](=O)(OC)OC",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"Nc1ccc(Oc2ccc(N)cc2)cc1",0,1,1,1,1,,,1,,,,,,,1,1,1,1,,,,,1,,1,,,,,,1,0,,,1,1,,
"O=[O]=O",,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,
"CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,,0,1,,,,,1,,1,,,,1,,,,,0,0,0,
"COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl",,,,1,1,,,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CN=CNc23",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"CC(=O)OO[N+]([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
"CCOc1ccc(NC(C)=O)cc1",,,,1,0,,,0,,,,0,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,
"c1cnc2c(c1)ccc3ncccc23",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Nc1ccc(N=Nc2ccccc2)c(N)n1",,,,,1,,,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,1,,
"NNCCc1ccccc1",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
"CCC1(C(=O)NC(=O)NC1=O)c2ccccc2",,,,1,1,,,1,,,,0,,,,,1,1,,,,,,,,,,,,0,,0,,,1,,,
"CC(COc1ccccc1)N(CCCl)Cc2ccccc2",,,,1,1,,,,,,,,,,,,1,1,,,,,,0,,,,,,,,,,,1,1,,
"CN(C)N=Nc1ccccc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Nc1cccc(N)c1",,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,0,,,,,,,,,
"Nc1ccccc1N",0,1,1,1,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,1,,,
"Nc1ccc(N)cc1",1,1,1,1,1,1,,1,,1,0,1,1,,1,1,1,1,,1,1,1,0,,,,0,0,0,,,,,,0,0,,0
"Nc1ccc(CCc2ccccc2)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"NNCCc1ccccc1.O[S](O)(=O)=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"C1OC1COc2ccccc2",,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,1,,,
"[H+].[Cl-].NNc1ccccc1",1,1,1,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,1,,,
"Oc1ccccc1c2ccccc2",,,,1,,,,1,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,,1,
"CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O",,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,1,
"CCN(CC)C(=O)\C(Cl)=C(/C)O[P](=O)(OC)OC",,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,,,
"ClC1C2(Cl)C3C4C5OC5C6C4C1(Cl)C(Cl)(C36)C2(Cl)Cl",,,,1,1,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,
"Nc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O",,,,,,,,,0,0,,,,,,,,,,0,0,,,,,,0,0,,,,,,,,,,
"Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O",1,1,1,,1,,,,,,,,,,1,0,,0,,0,,,0,,,,,,,,,,,,,,,
"CC1(C)COC1=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
"CCC1(C(=O)NCNC1=O)c2ccccc2",,,,1,1,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,1,,
"COc1cc(NC(C)CCCN)c2ncccc2c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24",,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"[K+].[K+].[O-][Cr]([O-])(=O)=O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,
"[K+].[K+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O",,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,1,,,,
"[H+].[Cl-].CNNCc1ccc(cc1)C(=O)NC(C)C",,,,,0,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
"[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13.Nc4ccc5cc6ccc(N)cc6nc5c4",,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"O=[S]1(=O)CCCO1",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,
"OCC#C",,,,,1,,,,,,0,,,,,,,,,,,1,,,0,,,,,,,,,,,1,,0
"O=C1CCO1",,,,1,1,,1,,,,,,,,,,1,1,,,,,,0,,,,,,0,,,1,1,1,,,
"CNC(=O)Oc1ccccc1OC(C)C",,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
"CC=C",,,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,0
"CC(O)COC(C)(C)C",,,,,1,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,1,,
"CC1CO1",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,1,0,,,,,,1,,,,1,1,,
"CCCN(N=O)C(/N)=N/[N+]([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CCCN(N=O)C(N)=O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,
"c1cc2ccc3cccc4ccc(c1)c2c34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oc1cccc(O)c1O",,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,
"Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)c(O)c3)O",,,,1,1,,1,,,,,,,,,,1,1,,,,,,0,0,,,,,0,,,,,1,1,,
"O.O.[Cl-].[H+].[H+].[Cl-].CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13",,,,1,,,1,,,,,1,,,,,1,1,,,,,,,0,,,,,0,,,,,,,,
"COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"[H+].[Cl-].COc1ccc2nccc(C(O)C3CC4(CCN3CC4)C=C)c2c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c1ccc2ncccc2c1",0,1,1,1,1,1,,1,,,,,,,0,1,1,1,,,,1,1,,,,,,1,,,,1,,1,,,1
"ONc1ccc(cc1)N=O",,,,1,1,,,1,,,,,,,,,1,1,,,,,,0,,,,,,,,0,,,1,1,,
"COc1c(O)c2N(CCc2c3cc([nH]c13)C(=O)N4CCc5c6cc([nH]c6c(OC)c(O)c45)C(=O)N7CC8CC89C7=CC(=O)c%10[nH]cc(C)c9%10)C(N)=O",,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,
"C\C=C1\CC(=C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,1,,
"OC(=O)c1ccccc1O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O[Se](O)=O",,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"S=[Se]",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,0,,,,,,1,,,,1,1,,
"C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OC\C2=C\CN(C)CC[C@@H](OC1=O)C2=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[Na+].[O-][Cl]=O",,,,1,,,,,,,,0,,,,,1,,,,,,,1,,,,,,,,,,,0,,,
"[Na+].[Na+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O",1,1,1,1,1,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,1,1,,
"[Na+].CN(C)C([S-])=S",,,,,,1,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,
"[Cl-].[Cl-].[Sn++]",,,,1,1,,,0,,,,,,,,,1,1,,,,,,0,0,,,,,1,1,,,,,,,
"COc1cc2O[C@H]3OC=C[C@H]3c2c4Oc5cccc(O)c5C(=O)c14",,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,,
"C1OC1c2ccccc2",1,1,1,1,1,1,1,1,,,1,,,,1,1,1,,,,,1,0,0,,,,,,,,,,1,1,1,,
"CCN(CC)C(=S)SCC(Cl)=C",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
"ClCCSCCCl",,,,1,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"Clc1ccc(cc1Cl)N=Nc2ccc(Cl)c(Cl)c2",,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
"ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl",0,1,1,,1,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,,,,,,
"CN(C)C(=S)SC(=S)N(C)C",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"[nH]1c2ccccc2nc1c3cscn3",,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
"Nc1ccc(Sc2ccc(N)cc2)cc1",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"S=[P](N1CC1)(N2CC2)N3CC3",,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,1,,1,1,,
"CN(C)C(=S)SSC(=S)N(C)C",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,0,0,,,
"CC[S](=O)(=O)CCn1c(C)ncc1[N+]([O-])=O",,,,1,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"Cc1ccc(cc1)[S](=O)(=O)NC(=O)NN2CCCCCC2",,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,
"Cc1ccc(cc1N=C=O)N=C=O",0,1,1,1,1,,,1,,,,,,,0,0,0,0,,,,,0,,,,,,,,,,,,1,,,
"Cc1c(cccc1N=C=O)N=C=O",0,1,1,,1,,,1,,,,,,,1,1,,,,,,,0,,,,,,,,,,,,,,,
"Cc1ccccc1N",,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,1,,
"[H+].[Cl-].Cc1ccc(N)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"ClCC1(CCl)C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl",,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,
"C[S](=O)(=O)OCC(O)C(O)CO[S](C)(=O)=O",,,,1,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
"CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl",,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,
"Nc1nc(N)c(N)c(O[S](O)(=O)=O)n1",,,,,,,,,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,
"CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O=C1C=C(N2CC2)C(=O)C(=C1N3CC3)N4CC4",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,
"O=C1C=C(N2CC2)C(=O)C(=C1N3CC3)N4CC4",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"BrC(Br)Br",,,,1,1,,,1,,,,,,,,,1,0,,,,,,0,0,,,,,,,0,,,1,1,,
"CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl",,,,,1,,1,1,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,
"ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CN(C)N=Nc1c(Cl)cc(Cl)cc1Cl",,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
"ClC(Cl)(Cl)C1CO1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"CC(Cl)(Cl)Cl",,,,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"ClCC(Cl)CCl",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,,,,,,,,,0,,,1,1,,
"C1CN1c2nc(nc(n2)N3CC3)N4CC4",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,
"[O-][N+](=O)c1oc(cc1)c2csc(NC(=O)C(F)(F)F)n2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O",,,,1,1,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"Oc1ccc(O)c(O)c1",,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
"Cc1cc(C)c(N)cc1C",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"[Cl-].Cc1cc(C)c([NH3+])c(C)c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
"CO[P](=O)(OC)OC",,,,1,1,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,1,,,,1,1,,
"[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"BrCC(Br)CO[P](=O)(OCC(Br)CBr)OCC(Br)CBr",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,
"O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4",1,1,1,,1,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,
"ClCCN(CCCl)[P]1(=O)OCCCN1CCCl",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"ClCCN(CCCl)C1=CNC(=O)NC1=O",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CCOC(N)=O",,,,1,,,0,,,,,0,,,,,1,0,,,,,,1,1,,,,,1,,,1,,1,1,,
"Cc1c[nH]c2C(=O)C=C3N(C[C@H]4CC34c12)C(=O)c5[nH]c6ccc(NC(=O)c7[nH]c8ccccc8c7)cc6c5",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"COC(=O)\C=C(/C)C1CCC(=CC1C(=O)OC)C",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"CCO[P](=S)(OCC)O\N=C(C#N)\c1ccccc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"BrC=C",,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,,,
"NC(=O)OC=C",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
"NC(=O)OC1CO1",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"ClC=C",,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,1
"ClC(Cl)=C",,,,0,0,1,1,1,,,1,,,,,,,,,,,1,,,0,,,,0,,,,,,,0,,0
"Cc1cccc(C)c1N",0,1,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,1,,
"[H+].[Cl-].Cc1ccc(N)c(C)c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[H+].[Cl-].Cc1ccc(C)c(N)c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S",,,,1,1,,,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,1,,
"[Zn](|P=[Zn])|P=[Zn]",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
